id,text,braille_brf
lu_1463,y-y-you,;y-;y-y
lu_1464,b...but,b444but
lu_1465,c-c-c-conceive,;c-;c-;c-3cv
lu_1466,st-st-stay,st-st-/ay
lu_1467,s-s-stutter,;s-;s-/utt}
lu_1468,g-good,;g-gd
lu_1469,qu-quick,qu-qk
lu_1470,m-m-m-mine,;m-;m-;m-m9e
lu_1471,wh-where,"wh-"":"
lu_1472,f-f-father,";f-;f-""f"
lu_1473,th-the,th-!
lu_1474,de-ce-ce-cease,de-ce-ce-c1se
lu_1475,th-these,th-~!
lu_1476,g-ghost,;g-<o/
lu_1477,gr-ground,gr-gr.d
lu_1478,lea-leave,lea-l1ve
lu_1479,m-must,;m-m/
lu_1480,w-what,;w-:at
lu_1481,c-can't,;c-c't
lu_1482,w-was,;w-was
lu_1483,ch-ch-children,ch-ch-*n
lu_1484,th-themselves,th-!mvs
lu_1485,b-b-below,;b-;b-2l
lu_1486,some-one,"""s-""o"
lu_1487,en-chant-ment,en-*ant-m5t
lu_1488,in-fea-si-ble,9-fea-si-ble
lu_1489,child-ish-ly,*-i%-ly
lu_1490,dis-in-ter-est,dis-9-t}-e/
lu_1491,friend-li-ness,fr-li-ness
lu_1492,for-get-ting,=-get-t+
lu_1493,bless-ed,b.s-$
lu_1494,out-side,|-side
lu_1495,be-low,be-l{
lu_1496,his-tory,his-tory
lu_1497,nightin-gale,ni<t9-gale
lu_1498,pro-found.),"pro-f.d4"">"
lu_1499,ahimsa,ahimsa
lu_1500,braillist,brailli/
lu_1501,declaration,decl>a;n
lu_1502,drafter,draft}
lu_1503,lacrosse,lacrosse
lu_1504,marabout,m>ab|t
lu_1505,mustache,mu/a*e
lu_1506,mustang,mu/ang
lu_1507,muster,mu/}
lu_1508,necessarily,necess>ily
lu_1509,rafter,raft}
lu_1510,shoulder,%|ld}
lu_1511,abouts,ab|ts
lu_1512,acrosses,acrosses
lu_1513,againe,aga9e
lu_1514,almosts,almo/s
lu_1515,hims,hims
lu_1516,aftereffect,aft}e6ect
lu_1517,afterimage,aft}image
lu_1518,blinded,bl9d$
lu_1519,blinding,bl9d+
lu_1520,befriended,2fri5d$
lu_1521,hereinbefore,"""h9be=e"
lu_1522,inbetween,9betwe5
lu_1523,misconceived,misconceiv$
